,movie,year,imdb,metascore,votes
1495,The Hallow,(2015),5.7,65        ,"16,611"
1496,The Human Centipede III (Final Sequence),(2015),2.8,5        ,"16,521"
1497,Vice,(2015),4.2,17        ,"16,341"
1498,Bana Masal Anlatma,(2015),7.5,,"15,847"
1499,Momentum,(I) (2015),5.5,18        ,"15,770"
1500,Deadpool,(2016),8.0,65        ,"990,886"
1501,Captain America: Civil War,(2016),7.8,75        ,"748,228"
1502,Doctor Strange,(2016),7.5,72        ,"688,823"
1503,Batman v Superman: Dawn of Justice,(2016),6.5,44        ,"684,052"
1504,Suicide Squad,(2016),5.9,40        ,"670,063"
1505,Arrival,(II) (2016),7.9,81        ,"666,078"
1506,Rogue One,(2016),7.8,65        ,"602,483"
1507,La La Land,(2016),8.0,94        ,"562,186"
1508,Hacksaw Ridge,(2016),8.1,71        ,"498,153"
1509,Zootopia,(2016),8.0,78        ,"478,991"
1510,Split,(IX) (2016),7.3,62        ,"473,023"
1511,Fantastic Beasts and Where to Find Them,(2016),7.3,66        ,"450,024"
1512,X-Men: Apocalypse,(2016),6.9,52        ,"422,267"
1513,Passengers,(I) (2016),7.0,41        ,"389,166"
1514,Moana,(I) (2016),7.6,81        ,"318,165"
1515,10 Cloverfield Lane,(2016),7.2,76        ,"315,175"
1516,The Nice Guys,(2016),7.4,70        ,"311,741"
1517,Moonlight,(I) (2016),7.4,99        ,"299,136"
1518,The Accountant,(2016),7.3,51        ,"287,591"
1519,Now You See Me 2,(2016),6.4,46        ,"277,958"
1520,The Jungle Book,(2016),7.4,77        ,"272,667"
1521,Manchester by the Sea,(2016),7.8,96        ,"272,391"
1522,Nocturnal Animals,(2016),7.5,67        ,"268,121"
1523,Finding Dory,(2016),7.3,77        ,"265,921"
1524,Don't Breathe,(2016),7.1,71        ,"263,734"
1525,Sully,(2016),7.4,74        ,"263,449"
1526,The Conjuring 2,(2016),7.3,65        ,"259,513"
1527,Warcraft,(2016),6.8,32        ,"258,878"
1528,Kimi no na wa.,(2016),8.4,79        ,"247,086"
1529,Star Trek Beyond,(2016),7.0,68        ,"242,002"
1530,Me Before You,(2016),7.4,51        ,"241,116"
1531,Lion,(2016),8.0,69        ,"231,321"
1532,Ghostbusters,(2016),6.9,60        ,"225,907"
1533,Hell or High Water,(II) (2016),7.6,88        ,"224,087"
1534,Jason Bourne,(I) (2016),6.6,58        ,"222,904"
1535,Hidden Figures,(2016),7.8,74        ,"221,408"
1536,Captain Fantastic,(2016),7.8,72        ,"212,944"
1537,The Magnificent Seven,(2016),6.9,54        ,"207,311"
1538,Busanhaeng,(2016),7.6,73        ,"207,166"
1539,War Dogs,(2016),7.1,57        ,"206,546"
1540,The Secret Life of Pets,(2016),6.5,61        ,"197,348"
1541,Assassin's Creed,(2016),5.7,36        ,"196,412"
1542,Sausage Party,(2016),6.1,66        ,"189,912"
1543,The Girl on the Train,(2016),6.5,48        ,"183,991"
1544,Central Intelligence,(2016),6.3,52        ,"182,703"
1545,Dangal,(2016),8.4,,"181,191"
1546,Independence Day: Resurgence,(2016),5.2,32        ,"176,626"
1547,The Promise,(II) (2016),6.0,49        ,"175,559"
1548,The Legend of Tarzan,(2016),6.2,44        ,"173,909"
1549,Inferno,(I) (2016),6.2,42        ,"172,295"
1550,Contratiempo,(2016),8.1,,"169,459"
1551,Miss Peregrine's Home for Peculiar Children,(2016),6.7,57        ,"168,035"
1552,Deepwater Horizon,(2016),7.1,68        ,"165,203"
1553,Sing,(2016),7.1,59        ,"160,940"
1554,London Has Fallen,(2016),5.9,28        ,"155,632"
1555,Jack Reacher: Never Go Back,(2016),6.1,47        ,"153,533"
1556,Allied,(2016),7.1,60        ,"153,063"
1557,Kung Fu Panda 3,(2016),7.1,66        ,"151,700"
1558,Snowden,(2016),7.3,58        ,"149,546"
1559,The Founder,(2016),7.2,66        ,"144,704"
1560,Ah-ga-ssi,(2016),8.1,84        ,"137,215"
1561,13 Hours,(2016),7.3,48        ,"137,134"
1562,"Hail, Caesar!",(2016),6.3,72        ,"132,414"
1563,The Great Wall,(I) (2016),5.9,42        ,"132,203"
1564,The Shallows,(2016),6.3,59        ,"129,870"
1565,Nerve,(I) (2016),6.5,58        ,"126,702"
1566,Kubo and the Two Strings,(2016),7.8,84        ,"126,647"
1567,Hunt for the Wilderpeople,(2016),7.8,81        ,"126,245"
1568,Lights Out,(II) (2016),6.3,58        ,"125,849"
1569,Hush,(I) (2016),6.6,67        ,"125,462"
1570,Bad Moms,(2016),6.2,60        ,"122,731"
1571,Dirty Grandpa,(2016),5.9,21        ,"121,674"
1572,The Edge of Seventeen,(2016),7.3,77        ,"121,170"
1573,Neighbors 2: Sorority Rising,(2016),5.7,58        ,"121,034"
1574,Allegiant,(2016),5.7,33        ,"119,051"
1575,Swiss Army Man,(2016),6.9,64        ,"115,232"
1576,Gods of Egypt,(2016),5.4,25        ,"114,572"
1577,The Autopsy of Jane Doe,(2016),6.8,65        ,"112,474"
1578,Why Him?,(2016),6.2,39        ,"110,344"
1579,Silence,(I) (2016),7.1,79        ,"110,176"
1580,Dag II,(2016),8.9,,"107,887"
1581,The Huntsman: Winter's War,(2016),6.1,35        ,"107,628"
1582,The 5th Wave,(2016),5.2,33        ,"107,150"
1583,Fences,(2016),7.2,79        ,"106,074"
1584,Alice Through the Looking Glass,(2016),6.2,34        ,"104,493"
1585,Patriots Day,(2016),7.4,69        ,"100,488"
1586,Grimsby,(2016),6.2,44        ,"100,178"
1587,The Purge: Election Year,(2016),6.0,55        ,"99,085"
1588,Money Monster,(2016),6.5,55        ,"99,027"
1589,Collateral Beauty,(2016),6.8,23        ,"98,911"
1590,A Cure for Wellness,(2016),6.4,47        ,"95,295"
1591,The Neon Demon,(2016),6.1,51        ,"92,989"
1592,Sing Street,(2016),7.9,79        ,"91,889"
1593,Resident Evil: The Final Chapter,(2016),5.5,49        ,"91,777"
1594,Teenage Mutant Ninja Turtles: Out of the Shadows,(2016),5.9,40        ,"91,467"
1595,Angry Birds,(2016),6.3,43        ,"89,786"
1596,The Boy,(2016),6.0,42        ,"88,953"
1597,The Lost City of Z,(2016),6.6,78        ,"88,427"
1598,Mike and Dave Need Wedding Dates,(2016),6.0,51        ,"88,231"
1599,How to Be Single,(2016),6.1,51        ,"86,953"
1600,A Monster Calls,(2016),7.5,76        ,"86,874"
1601,The BFG,(2016),6.4,66        ,"84,414"
1602,Mechanic: Resurrection,(2016),5.7,38        ,"83,223"
1603,Midnight Special,(2016),6.6,76        ,"80,131"
1604,Trolls,(2016),6.5,55        ,"79,722"
1605,Paterson,(2016),7.3,90        ,"79,617"
1606,Office Christmas Party,(2016),5.8,42        ,"79,136"
1607,Jackie,(V) (2016),6.7,81        ,"78,531"
1608,Café Society,(2016),6.6,64        ,"76,053"
1609,Underworld: Blood Wars,(2016),5.7,23        ,"74,892"
1610,Bridget Jones's Baby,(2016),6.5,59        ,"74,525"
1611,Koe no katachi,(2016),8.1,78        ,"74,096"
1612,Grave,(2016),7.0,81        ,"73,679"
1613,The Infiltrator,(2016),7.0,66        ,"73,040"
1614,Miss Sloane,(2016),7.5,64        ,"73,015"
1615,Triple 9,(2016),6.3,52        ,"71,472"
1616,The Fundamentals of Caring,(2016),7.3,55        ,"70,917"
1617,Zoolander 2,(2016),4.7,34        ,"68,549"
1618,The Finest Hours,(2016),6.7,58        ,"65,828"
1619,Elle,(I) (2016),7.1,89        ,"65,782"
1620,Criminal,(2016),6.3,36        ,"65,322"
1621,Ice Age: Collision Course,(2016),5.7,34        ,"64,803"
1622,Gokseong,(2016),7.4,81        ,"64,520"
1623,Colossal,(2016),6.2,70        ,"63,699"
1624,Perfetti sconosciuti,(2016),7.7,,"63,695"
1625,Blood Father,(2016),6.4,66        ,"63,595"
1626,Gold,(I) (2016),6.7,49        ,"62,854"
1627,Keeping Up with the Joneses,(2016),5.9,34        ,"62,321"
1628,Ouija: Origin of Evil,(2016),6.2,65        ,"61,644"
1629,Storks,(2016),6.8,56        ,"61,128"
1630,Popstar: Never Stop Never Stopping,(2016),6.7,68        ,"60,044"
1631,Forushande,(2016),7.7,85        ,"59,439"
1632,The Girl with All the Gifts,(2016),6.6,67        ,"58,949"
1633,"I, Daniel Blake",(2016),7.9,78        ,"58,901"
1634,Spectral,(2016),6.3,,"58,225"
