Unnamed: 0,movie,year,imdb,metascore,votes
0,Inception,2010,8.8,74.0,"2,258,044"
1,Shutter Island,2010,8.2,63.0,"1,250,916"
2,Toy Story 3,2010,8.3,92.0,"810,234"
3,Iron Man 2,2010,7.0,57.0,"788,680"
4,Black Swan,2010,8.0,79.0,"743,470"
5,How to Train Your Dragon,2010,8.1,75.0,"716,386"
6,The Social Network,2010,7.8,95.0,"680,120"
7,The King's Speech,2010,8.0,88.0,"669,312"
8,Kick-Ass,2010,7.6,66.0,"551,580"
9,Despicable Me,2010,7.6,72.0,"531,263"
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,"528,081"
11,Tangled,2010,7.8,71.0,"438,297"
12,Scott Pilgrim vs. the World,2010,7.6,69.0,"413,939"
13,Alice in Wonderland,2010,6.4,53.0,"405,353"
14,Easy A,2010,7.0,72.0,"382,713"
15,The Town,2010,7.5,74.0,"380,851"
16,127 Hours,2010,7.6,82.0,"369,979"
17,The Fighter,2010,7.8,79.0,"358,981"
18,The Expendables,2010,6.4,45.0,"340,526"
19,Due Date,2010,6.5,51.0,"338,856"
20,True Grit,2010,7.6,80.0,"332,692"
21,Tron,2010,6.8,49.0,"329,968"
22,The Book of Eli,2010,6.8,53.0,"311,793"
23,Salt,2010,6.5,65.0,"310,128"
24,RED,2010,7.0,60.0,"304,467"
25,Insidious,2010,6.8,52.0,"299,899"
26,Prince of Persia: The Sands of Time,2010,6.6,50.0,"285,473"
27,Clash of the Titans,2010,5.8,39.0,"279,743"
28,Robin Hood,2010,6.6,53.0,"265,354"
29,The Other Guys,2010,6.6,64.0,"261,881"
30,The A-Team,2010,6.7,47.0,"256,380"
31,Megamind,2010,7.3,63.0,"251,378"
32,Grown Ups,2010,5.9,30.0,"246,067"
33,The Twilight Saga: Eclipse,2010,5.0,58.0,"241,745"
34,The Tourist,2010,6.0,37.0,"237,969"
35,Predators,2010,6.4,51.0,"222,393"
36,Shrek Forever After,2010,6.3,58.0,"199,365"
37,Love & Other Drugs,2010,6.7,55.0,"198,880"
38,Machete,2010,6.6,60.0,"196,198"
39,The Next Three Days,2010,7.3,52.0,"195,022"
40,Unstoppable,2010,6.8,69.0,"194,824"
41,Blue Valentine,2010,7.4,81.0,"194,382"
42,Knight and Day,2010,6.3,46.0,"191,684"
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47.0,"186,165"
44,The Karate Kid,2010,6.2,61.0,"177,815"
45,Get Him to the Greek,2010,6.4,65.0,"176,740"
46,Tucker and Dale vs Evil,2010,7.5,65.0,"175,737"
47,Hot Tub Time Machine,2010,6.4,63.0,"171,978"
48,Incendies,2010,8.3,80.0,"170,985"
49,Resident Evil: Afterlife,2010,5.8,37.0,"169,551"
50,The Ghost Writer,2010,7.2,77.0,"162,108"
51,The Last Airbender,2010,4.0,20.0,"161,405"
52,Date Night,2010,6.3,56.0,"160,894"
53,The Sorcerer's Apprentice,2010,6.1,46.0,"160,259"
54,Buried,2010,7.0,65.0,"158,761"
55,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53.0,"151,508"
56,Dear John,2010,6.3,43.0,"146,893"
57,Remember Me,2010,7.1,40.0,"145,185"
58,Never Let Me Go,2010,7.1,69.0,"144,084"
59,Devil,2010,6.3,44.0,"143,275"
60,It's Kind of a Funny Story,2010,7.1,63.0,"142,037"
61,Winter's Bone,2010,7.1,90.0,"141,848"
62,Green Zone,2010,6.8,63.0,"136,265"
63,She's Out of My League,2010,6.4,46.0,"135,841"
64,Life as We Know It,2010,6.5,39.0,"130,364"
65,The Kids Are All Right,2010,7.1,86.0,"129,700"
66,The Bounty Hunter,2010,5.5,22.0,"126,420"
67,Ang-ma-reul bo-at-da,2010,7.8,67.0,"125,395"
68,Let Me In,2010,7.1,79.0,"119,993"
69,The Crazies,2010,6.5,56.0,"119,321"
70,Valentine's Day,2010,5.7,34.0,"119,030"
71,From Paris with Love,2010,6.4,42.0,"116,476"
72,The Way Back,2010,7.3,66.0,"115,350"
73,Little Fockers,2010,5.5,27.0,"111,561"
74,Faster,2010,6.4,44.0,"106,350"
75,The Wolfman,2010,5.8,43.0,"106,035"
76,Dinner for Schmucks,2010,5.9,56.0,"105,683"
77,Repo Men,2010,6.3,32.0,"105,521"
78,My Name Is Khan,2010,8.0,50.0,"105,041"
79,Legion,2010,5.2,32.0,"104,078"
80,The Switch,2010,6.1,52.0,"103,910"
81,Yip Man 2,2010,7.5,67.0,"103,640"
82,Paranormal Activity 2,2010,5.7,53.0,"103,078"
83,Leap Year,2010,6.4,33.0,"102,691"
84,Wall Street: Money Never Sleeps,2010,6.2,59.0,"102,061"
85,The Losers,2010,6.3,44.0,"99,821"
86,A Nightmare on Elm Street,2010,5.2,35.0,"98,919"
87,Letters to Juliet,2010,6.5,50.0,"98,804"
88,Saw 3D,2010,5.6,24.0,"97,200"
89,The American,2010,6.3,61.0,"95,950"
90,Eat Pray Love,2010,5.8,50.0,"95,597"
91,Edge of Darkness,2010,6.6,55.0,"93,764"
92,Hereafter,2010,6.5,56.0,"92,629"
93,Monsters,2010,6.4,63.0,"91,652"
94,Beginners,2010,7.2,81.0,"91,418"
95,Killers,2010,5.4,21.0,"91,006"
96,Biutiful,2010,7.4,58.0,"89,869"
97,Kari-gurashi no Arietti,2010,7.6,80.0,"89,865"
98,Submarine,2010,7.3,76.0,"89,743"
99,Piranha 3D,2010,5.5,53.0,"89,599"
100,Skyline,2010,4.5,26.0,"89,487"
101,Flipped,2010,7.7,45.0,"88,613"
102,Cop Out,2010,5.6,31.0,"87,635"
104,The Last Song,2010,6.0,33.0,"86,681"
105,Burlesque,2010,6.4,47.0,"84,563"
106,I Spit on Your Grave,2010,6.2,27.0,"82,645"
107,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53.0,"82,523"
108,Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71.0,"82,284"
109,Centurion,2010,6.3,62.0,"82,079"
110,Super,2010,6.7,50.0,"79,259"
111,Sex and the City 2,2010,4.5,27.0,"79,042"
112,Morning Glory,2010,6.5,57.0,"78,140"
113,Four Lions,2010,7.3,68.0,"76,872"
114,Trolljegeren,2010,6.9,61.0,"73,123"
115,Frozen,2010,6.2,43.0,"72,496"
116,The Debt,2010,6.8,65.0,"69,062"
117,Gulliver's Travels,2010,4.9,33.0,"68,958"
119,Jûsan-nin no shikaku,2010,7.5,84.0,"64,902"
121,When in Rome,2010,5.5,25.0,"62,040"
122,Takers,2010,6.2,45.0,"61,980"
123,Charlie St. Cloud,2010,6.4,37.0,"61,651"
124,Jonah Hex,2010,4.7,33.0,"58,577"
125,Going the Distance,2010,6.3,51.0,"58,212"
126,Step Up 3D,2010,6.2,45.0,"57,764"
127,Animal Kingdom,2010,7.3,83.0,"57,153"
128,All Good Things,2010,6.3,57.0,"55,710"
130,Hesher,2010,7.0,45.0,"52,106"
131,You Again,2010,5.7,28.0,"51,677"
132,Everything Must Go,2010,6.4,65.0,"50,414"
133,The Back-up Plan,2010,5.3,34.0,"49,850"
134,The Last Exorcism,2010,5.7,63.0,"49,666"
135,How Do You Know,2010,5.4,46.0,"49,537"
136,Death at a Funeral,2010,5.7,51.0,"49,492"
137,Rabbit Hole,2010,7.0,76.0,"49,138"
138,Fair Game,2010,6.8,69.0,"48,765"
139,The Runaways,2010,6.5,65.0,"48,644"
140,Vampires Suck,2010,3.4,18.0,"48,597"
141,Don't Be Afraid of the Dark,2010,5.5,56.0,"48,528"
142,Diary of a Wimpy Kid,2010,6.2,56.0,"48,468"
143,Last Night,2010,6.5,50.0,"48,445"
144,London Boulevard,2010,6.2,52.0,"47,891"
145,Black Death,2010,6.4,71.0,"47,600"
146,Tooth Fairy,2010,5.0,36.0,"45,804"
147,The Company Men,2010,6.7,69.0,"45,481"
148,You Will Meet a Tall Dark Stranger,2010,6.3,51.0,"45,459"
149,MacGruber,2010,5.6,43.0,"45,160"
150,Somewhere,2010,6.3,67.0,"44,641"
152,Conviction,2010,7.2,61.0,"44,126"
153,The Spy Next Door,2010,5.4,27.0,"43,461"
154,Trust,2010,6.9,60.0,"42,284"
155,Stake Land,2010,6.5,66.0,"42,280"
156,The Ward,2010,5.5,38.0,"42,166"
157,13,2010,6.0,29.0,"41,871"
158,Stone,2010,5.4,58.0,"41,467"
159,Hævnen,2010,7.6,65.0,"39,910"
161,Wild Target,2010,6.7,41.0,"37,905"
162,Greenberg,2010,6.1,76.0,"37,474"
163,Rubber,2010,5.7,59.0,"36,760"
164,Cyrus,2010,6.3,74.0,"35,136"
165,L'illusionniste,2010,7.5,82.0,"35,010"
168,6 Souls,2010,6.0,28.0,"34,412"
170,The Killer Inside Me,2010,6.1,53.0,"34,128"
171,The Whistleblower,2010,7.1,59.0,"33,536"
172,The Way,2010,7.3,64.0,"32,463"
175,Nanny McPhee and the Big Bang,2010,6.1,52.0,"32,067"
176,"Tomorrow, When the War Began",2010,6.1,54.0,"31,076"
177,Happythankyoumoreplease,2010,6.7,45.0,"29,949"
178,Another Year,2010,7.4,80.0,"29,342"
179,Les amours imaginaires,2010,7.1,70.0,"28,916"
180,Rare Exports,2010,6.6,71.0,"28,793"
181,The Conspirator,2010,6.9,55.0,"28,726"
182,Secretariat,2010,7.2,61.0,"28,196"
185,The Perfect Host,2010,6.7,48.0,"26,778"
186,L'arnacoeur,2010,6.7,59.0,"26,426"
187,The Warrior's Way,2010,6.3,45.0,"26,263"
188,Vanishing on 7th Street,2010,4.9,50.0,"26,044"
190,Boy,2010,7.5,70.0,"25,708"
191,Les petits mouchoirs,2010,7.1,50.0,"25,107"
192,Barney's Version,2010,7.3,67.0,"24,978"
193,Welcome to the Rileys,2010,7.0,50.0,"24,316"
194,Copie conforme,2010,7.2,82.0,"24,046"
198,I'm Still Here,2010,6.2,48.0,"22,434"
200,Yogi Bear,2010,4.6,35.0,"21,773"
201,Tamara Drewe,2010,6.2,64.0,"21,737"
203,Hwanghae,2010,7.3,70.0,"20,805"
204,My Soul to Take,2010,4.7,25.0,"20,434"
206,Henry's Crime,2010,5.9,49.0,"20,205"
207,Burke and Hare,2010,6.1,46.0,"20,184"
208,Waiting for Forever,2010,6.0,26.0,"19,888"
209,Bunraku,2010,6.1,28.0,"19,853"
213,Ramona and Beezus,2010,6.6,56.0,"18,645"
215,Country Strong,2010,6.3,45.0,"18,061"
216,Snabba cash,2010,6.7,75.0,"18,046"
220,Casino Jack,2010,6.2,51.0,"17,231"
221,Mother's Day,2010,6.2,34.0,"17,228"
222,Elle s'appelait Sarah,2010,7.5,59.0,"17,072"
223,Furry Vengeance,2010,3.8,23.0,"16,893"
224,Extraordinary Measures,2010,6.4,45.0,"16,891"
226,Wrecked,2010,5.3,61.0,"16,218"
228,Loong Boonmee raleuk chat,2010,6.7,87.0,"15,508"
229,Des hommes et des dieux,2010,7.2,86.0,"15,452"
230,Marmaduke,2010,4.3,30.0,"15,431"
232,Made in Dagenham,2010,7.1,65.0,"15,233"
233,Dylan Dog: Dead of Night,2010,5.1,31.0,"15,115"
234,Cats & Dogs: The Revenge of Kitty Galore,2010,4.3,30.0,"15,098"
236,Beyond the Black Rainbow,2010,5.9,49.0,"14,857"
238,Just Wright,2010,5.9,51.0,"14,465"
239,Tiny Furniture,2010,6.2,72.0,"14,343"
240,Alpha and Omega,2010,5.2,36.0,"14,247"
241,Womb,2010,6.3,48.0,"14,226"
243,Balada triste de trompeta,2010,6.5,70.0,"14,164"
245,À bout portant,2010,6.8,75.0,"14,002"
246,Meek's Cutoff,2010,6.5,85.0,"13,908"
247,Ong-bak 3,2010,4.9,38.0,"13,827"
249,Hatchet II,2010,5.4,49.0,"13,612"
250,Harry Potter and the Deathly Hallows: Part 2,2011,8.2,85.0,"840,978"
251,The Intouchables,2011,8.5,57.0,"827,666"
252,Captain America: The First Avenger,2011,6.9,66.0,"814,952"
253,Thor,2011,7.0,57.0,"813,446"
254,X: First Class,2011,7.7,65.0,"677,933"
255,Drive,2011,7.8,78.0,"615,022"
256,Limitless,2011,7.4,59.0,"559,375"
257,Rise of the Planet of the Apes,2011,7.6,68.0,"518,259"
258,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45.0,"511,104"
259,Source Code,2011,7.5,74.0,"510,308"
260,"Crazy, Stupid, Love.",2011,7.4,68.0,"506,704"
261,The Hangover Part II,2011,6.5,44.0,"489,436"
262,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,"479,377"
263,Warrior,2011,8.2,71.0,"461,816"
264,The Girl with the Dragon Tattoo,2011,7.8,71.0,"453,880"
265,The Help,2011,8.1,62.0,"448,088"
266,Sherlock Holmes: A Game of Shadows,2011,7.4,48.0,"444,748"
267,Horrible Bosses,2011,6.9,57.0,"441,396"
268,Midnight in Paris,2011,7.7,81.0,"414,721"
269,Moneyball,2011,7.6,87.0,"408,774"
270,The Cabin in the Woods,2011,7.0,72.0,"405,197"
271,Transformers: Dark of the Moon,2011,6.2,42.0,"401,652"
272,In Time,2011,6.7,53.0,"400,570"
273,Fast Five,2011,7.3,66.0,"374,262"
274,Friends with Benefits,2011,6.6,63.0,"360,513"
275,Super 8,2011,7.0,72.0,"350,348"
276,50/50,2011,7.6,72.0,"326,716"
277,Real Steel,2011,7.1,56.0,"320,213"
278,Hugo,2011,7.5,83.0,"318,729"
279,Contagion,2011,6.8,70.0,"299,550"
280,Bridesmaids,2011,6.8,75.0,"286,868"
281,Green Lantern,2011,5.5,39.0,"281,023"
282,Kung Fu Panda 2,2011,7.2,67.0,"275,387"
283,Unknown,2011,6.8,56.0,"259,298"
284,Rango,2011,7.2,75.0,"256,464"
285,The Adjustment Bureau,2011,7.0,60.0,"254,467"
286,The Grey,2011,6.8,64.0,"250,186"
287,Paul,2011,7.0,57.0,"248,825"
288,Sucker Punch,2011,6.1,33.0,"240,621"
289,Jodaeiye Nader az Simin,2011,8.3,95.0,"240,443"
290,The Descendants,2011,7.3,84.0,"240,113"
291,The Artist,2011,7.9,89.0,"239,284"
292,Just Go with It,2011,6.4,33.0,"238,399"
293,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45.0,"236,615"
294,I Am Number Four,2011,6.1,36.0,"235,934"
295,The Lincoln Lawyer,2011,7.3,63.0,"231,009"
296,The Adventures of Tintin,2011,7.3,68.0,"227,891"
297,No Strings Attached,2011,6.2,50.0,"226,495"
298,Rio,2011,6.9,63.0,"222,153"
299,The Ides of March,2011,7.1,67.0,"221,277"
300,Cowboys & Aliens,2011,6.0,50.0,"218,255"
301,Bad Teacher,2011,5.7,47.0,"201,354"
302,Serbuan maut,2011,7.6,73.0,"201,257"
303,Tinker Tailor Soldier Spy,2011,7.0,85.0,"199,080"
304,Hanna,2011,6.8,65.0,"197,272"
305,Shame,2011,7.2,72.0,"192,965"
306,Cars 2,2011,6.2,57.0,"180,595"
307,The Change-Up,2011,6.3,39.0,"179,867"
308,Melancholia,2011,7.1,80.0,"179,164"
309,Battle: Los Angeles,2011,5.7,37.0,"179,023"
310,The Tree of Life,2011,6.8,85.0,"175,138"
311,Immortals,2011,6.0,46.0,"166,882"
312,The Green Hornet,2011,5.8,39.0,"159,662"
313,The Mechanic,2011,6.5,49.0,"158,986"
314,Puss in Boots,2011,6.6,65.0,"155,448"
315,War Horse,2011,7.2,72.0,"155,295"
316,We Need to Talk About Kevin,2011,7.5,68.0,"150,517"
317,One Day,2011,7.0,48.0,"150,010"
318,La piel que habito,2011,7.6,70.0,"149,618"
319,Scream 4,2011,6.2,52.0,"145,569"
320,We Bought a Zoo,2011,7.1,58.0,"142,005"
321,Tower Heist,2011,6.2,59.0,"141,358"
322,The Thing,2011,6.2,49.0,"129,976"
323,Killer Elite,2011,6.4,44.0,"128,745"
324,Johnny English Reborn,2011,6.3,46.0,"128,518"
325,J. Edgar,2011,6.5,59.0,"127,558"
326,Margin Call,2011,7.1,76.0,"126,759"
327,Carnage,2011,7.1,61.0,"125,639"
328,Hall Pass,2011,5.9,45.0,"124,899"
329,Priest,2011,5.7,41.0,"119,179"
330,Ghost Rider: Spirit of Vengeance,2011,4.3,34.0,"117,651"
331,Water for Elephants,2011,6.9,52.0,"115,530"
332,Final Destination 5,2011,5.9,50.0,"114,176"
333,Red Riding Hood,2011,5.4,29.0,"111,448"
334,The Iron Lady,2011,6.4,52.0,"108,220"
335,The Three Musketeers,2011,5.7,35.0,"107,224"
336,Attack the Block,2011,6.7,75.0,"105,791"
337,Fright Night,2011,6.4,64.0,"104,755"
338,A Dangerous Method,2011,6.4,76.0,"102,464"
339,The Rum Diary,2011,6.2,56.0,"101,847"
340,Hodejegerne,2011,7.5,72.0,"101,251"
341,Extremely Loud & Incredibly Close,2011,6.9,46.0,"101,178"
342,Your Highness,2011,5.5,31.0,"100,537"
343,Colombiana,2011,6.4,45.0,"100,369"
344,Take Shelter,2011,7.3,85.0,"99,411"
345,30 Minutes or Less,2011,6.1,49.0,"99,301"
346,Conan the Barbarian,2011,5.1,36.0,"98,398"
347,Drive Angry,2011,5.4,44.0,"97,993"
348,You're Next,2011,6.6,66.0,"96,825"
349,The Rite,2011,6.0,38.0,"96,736"
350,Mr. Popper's Penguins,2011,6.0,53.0,"95,091"
351,Another Earth,2011,6.9,66.0,"94,858"
352,The Best Exotic Marigold Hotel,2011,7.2,62.0,"94,379"
353,Paranormal Activity 3,2011,5.8,59.0,"94,135"
354,Season of the Witch,2011,5.4,28.0,"93,546"
355,The Muppets,2011,7.1,75.0,"91,549"
356,The Smurfs,2011,5.4,30.0,"89,014"
357,Our Idiot Brother,2011,6.4,60.0,"87,305"
358,Jane Eyre,2011,7.3,76.0,"86,783"
359,Goon,2011,6.8,64.0,"86,715"
360,Haywire,2011,5.8,67.0,"86,533"
361,My Week with Marilyn,2011,7.0,65.0,"86,434"
363,The Guard,2011,7.3,78.0,"85,708"
364,New Year's Eve,2011,5.6,22.0,"85,566"
365,Young Adult,2011,6.3,71.0,"83,649"
366,Detachment,2011,7.7,52.0,"83,519"
367,Jack and Jill,2011,3.3,23.0,"83,413"
368,The Inbetweeners Movie,2011,6.7,44.0,"82,044"
369,Abduction,2011,5.1,25.0,"79,948"
370,What's Your Number?,2011,6.0,35.0,"79,335"
371,Beastly,2011,5.5,40.0,"77,415"
372,Killer Joe,2011,6.7,62.0,"76,832"
374,The Sitter,2011,5.6,39.0,"70,405"
375,God Bless America,2011,7.2,56.0,"69,663"
376,The Eagle,2011,6.2,55.0,"69,365"
377,A Very Harold & Kumar 3D Christmas,2011,6.3,61.0,"69,189"
378,Larry Crowne,2011,6.1,41.0,"66,931"
379,Dream House,2011,6.0,35.0,"66,308"
380,The Awakening,2011,6.5,53.0,"66,093"
381,Machine Gun Preacher,2011,6.8,43.0,"65,658"
382,Salmon Fishing in the Yemen,2011,6.8,58.0,"64,366"
383,Red State,2011,6.1,50.0,"64,156"
384,"Jeff, Who Lives at Home",2011,6.5,60.0,"63,622"
385,Something Borrowed,2011,5.8,36.0,"61,890"
386,The Devil's Double,2011,7.1,52.0,"61,879"
387,Like Crazy,2011,6.6,68.0,"61,385"
388,The Darkest Hour,2011,4.9,18.0,"60,879"
389,Zookeeper,2011,5.2,30.0,"60,748"
390,Bernie,2011,6.8,75.0,"59,832"
391,Perfect Sense,2011,7.1,55.0,"59,548"
392,The Art of Getting By,2011,6.5,36.0,"58,573"
393,Arthur Christmas,2011,7.1,69.0,"58,200"
394,Grave Encounters,2011,6.1,33.0,"56,979"
395,Apollo 18,2011,5.2,24.0,"55,445"
396,Gnomeo & Juliet,2011,5.9,53.0,"55,336"
397,Sanctum,2011,5.9,42.0,"55,326"
398,The Dilemma,2011,5.3,46.0,"53,858"
399,Win Win,2011,7.2,75.0,"53,775"
400,Take Me Home Tonight,2011,6.3,42.0,"53,207"
401,Don 2,2011,7.2,49.0,"52,278"
402,Jin ling shi san chai,2011,7.5,46.0,"52,256"
403,Martha Marcy May Marlene,2011,6.8,75.0,"52,094"
404,Arthur,2011,5.7,36.0,"51,787"
405,The Beaver,2011,6.6,60.0,"48,922"
406,Soul Surfer,2011,7.0,53.0,"48,916"
407,Footloose,2011,5.8,58.0,"48,566"
408,Kill the Irishman,2011,7.1,50.0,"48,236"
409,Seeking Justice,2011,6.1,38.0,"46,118"
410,Hobo with a Shotgun,2011,6.1,55.0,"45,953"
411,Bir Zamanlar Anadolu'da,2011,7.9,82.0,"45,747"
412,The Big Year,2011,6.2,53.0,"44,703"
413,Happy Feet Two,2011,5.9,50.0,"44,388"
414,Monte Carlo,2011,5.8,43.0,"44,249"
416,Trespass,2011,5.3,37.0,"43,177"
417,Kokuriko-zaka kara,2011,7.4,71.0,"42,293"
418,Friends with Kids,2011,6.1,55.0,"42,188"
419,Mientras duermes,2011,7.2,70.0,"42,149"
421,Ironclad,2011,6.1,42.0,"41,874"
422,Ra.One,2011,4.9,60.0,"40,725"
423,Anonymous,2011,6.8,50.0,"40,674"
424,Kill List,2011,6.4,67.0,"40,107"
425,The Hunter,2011,6.7,63.0,"38,781"
426,The Roommate,2011,4.8,23.0,"38,350"
427,The Human Centipede II (Full Sequence),2011,3.8,17.0,"38,270"
428,Cedar Rapids,2011,6.3,70.0,"37,614"
429,The Divide,2011,5.8,28.0,"36,702"
430,This Must Be the Place,2011,6.7,61.0,"35,060"
431,Alvin and the Chipmunks: Chipwrecked,2011,4.3,24.0,"34,663"
432,The Innkeepers,2011,5.5,64.0,"34,601"
433,In the Land of Blood and Honey,2011,4.5,56.0,"34,209"
434,Straw Dogs,2011,5.8,45.0,"34,087"
435,Hop,2011,5.4,41.0,"33,625"
436,Flypaper,2011,6.3,37.0,"32,757"
437,Sleeping Beauty,2011,5.3,57.0,"32,389"
438,Coriolanus,2011,6.1,79.0,"32,090"
439,Tyrannosaur,2011,7.5,65.0,"31,954"
440,Hysteria,2011,6.7,53.0,"31,732"
441,Diary of a Wimpy Kid: Rodrick Rules,2011,6.6,51.0,"30,401"
442,The Double,2011,5.9,37.0,"30,139"
443,Weekend,2011,7.6,81.0,"29,973"
444,Delhi Belly,2011,7.6,66.0,"29,643"
446,A Little Bit of Heaven,2011,6.3,14.0,"28,616"
447,Take This Waltz,2011,6.5,68.0,"28,339"
449,Le gamin au vélo,2011,7.4,87.0,"27,363"
450,Your Sister's Sister,2011,6.7,72.0,"27,340"
451,"Big Mommas: Like Father, Like Son",2011,4.4,22.0,"27,231"
452,Shark Night 3D,2011,4.0,22.0,"25,878"
453,Bodyguard,2011,4.7,41.0,"25,524"
454,10 Years,2011,6.1,61.0,"25,521"
455,Chalet Girl,2011,6.3,42.0,"25,257"
456,Spy Kids 4: All the Time in the World,2011,3.5,37.0,"25,055"
457,Albert Nobbs,2011,6.7,57.0,"24,459"
458,Winnie the Pooh,2011,7.2,74.0,"24,441"
459,Dolphin Tale,2011,6.8,64.0,"24,053"
460,Rampart,2011,5.8,70.0,"24,007"
461,The Woman,2011,6.0,58.0,"23,914"
462,Puncture,2011,6.8,54.0,"23,912"
464,Rundskop,2011,7.3,68.0,"23,176"
465,"Oslo, 31. august",2011,7.6,84.0,"22,785"
466,Silent House,2011,5.2,49.0,"22,724"
467,A Good Old Fashioned Orgy,2011,6.1,44.0,"22,480"
468,Mars Needs Moms,2011,5.4,49.0,"22,286"
469,Sound of My Voice,2011,6.6,67.0,"21,887"
470,Le Havre,2011,7.2,82.0,"21,632"
471,Butter,2011,6.2,40.0,"21,588"
475,Intruders,2011,5.4,45.0,"20,675"
477,Courageous,2011,6.9,42.0,"20,476"
478,Tomboy,2011,7.4,74.0,"20,352"
479,I Don't Know How She Does It,2011,4.9,38.0,"20,306"
480,Monsieur Lazhar,2011,7.5,82.0,"20,268"
481,Texas Killing Fields,2011,5.7,49.0,"19,987"
482,Hick,2011,5.6,28.0,"19,711"
484,The Ledge,2011,6.5,34.0,"19,438"
485,Xin shao lin si,2011,6.8,53.0,"19,372"
487,Forces spéciales,2011,6.3,37.0,"18,716"
489,Snowtown,2011,6.6,66.0,"18,582"
493,Restless,2011,6.7,47.0,"17,832"
496,A torinói ló,2011,7.7,80.0,"17,429"
498,Margaret,2011,6.5,61.0,"17,273"
500,The Dark Knight Rises,2012,8.4,78.0,"1,643,463"
501,Django Unchained,2012,8.5,81.0,"1,487,122"
502,The Avengers,2012,8.1,69.0,"1,348,653"
503,The Hunger Games,2012,7.2,68.0,"895,459"
504,The Hobbit: An Unexpected Journey,2012,7.8,58.0,"801,349"
505,Silver Linings Playbook,2012,7.7,81.0,"696,702"
506,Skyfall,2012,7.8,81.0,"682,752"
507,The Amazing Spider-Man,2012,7.0,66.0,"635,548"
508,Life of Pi,2012,7.9,79.0,"614,929"
509,Argo,2012,7.7,86.0,"603,842"
510,Ted,2012,6.9,62.0,"600,036"
511,Prometheus,2012,7.0,64.0,"596,882"
512,Looper,2012,7.4,84.0,"564,850"
513,21 Jump Street,2012,7.2,69.0,"544,379"
514,The Perks of Being a Wallflower,2012,8.0,67.0,"496,148"
515,Wreck-It Ralph,2012,7.7,72.0,"409,895"
516,Brave,2012,7.1,69.0,"400,363"
517,Cloud Atlas,2012,7.4,55.0,"358,704"
518,Men in Black 3,2012,6.8,58.0,"354,904"
519,Flight,2012,7.3,76.0,"346,574"
520,Moonrise Kingdom,2012,7.8,84.0,"342,771"
521,Jack Reacher,2012,7.0,50.0,"332,340"
522,Les Misérables,2012,7.6,63.0,"324,545"
523,Jagten,2012,8.3,77.0,"317,670"
524,The Expendables 2,2012,6.6,51.0,"303,562"
525,Taken 2,2012,6.2,45.0,"302,917"
526,Pitch Perfect,2012,7.2,66.0,"298,689"
527,The Bourne Legacy,2012,6.6,61.0,"298,326"
528,The Dictator,2012,6.4,58.0,"298,248"
529,Zero Dark Thirty,2012,7.4,95.0,"292,836"
530,Snow White and the Huntsman,2012,6.1,57.0,"285,462"
531,Dredd,2012,7.1,60.0,"268,992"
532,John Carter,2012,6.6,51.0,"268,350"
533,The Place Beyond the Pines,2012,7.3,68.0,"262,496"
534,Dark Shadows,2012,6.2,55.0,"261,949"
535,Lincoln,2012,7.3,86.0,"257,384"
536,Seven Psychopaths,2012,7.2,66.0,"253,302"
537,Total Recall,2012,6.2,43.0,"251,535"
538,Chronicle,2012,7.0,69.0,"248,568"
539,Hotel Transylvania,2012,7.1,47.0,"247,939"
540,Battleship,2012,5.8,41.0,"245,519"
541,The Twilight Saga: Breaking Dawn - Part 2,2012,5.6,52.0,"244,710"
542,End of Watch,2012,7.6,68.0,"243,005"
543,Sinister,2012,6.8,53.0,"242,337"
544,Lawless,2012,7.2,58.0,"239,422"
545,Safe House,2012,6.7,52.0,"220,100"
546,Lo imposible,2012,7.6,73.0,"219,032"
547,American Reunion,2012,6.7,49.0,"211,794"
548,Ice Age: Continental Drift,2012,6.5,49.0,"205,036"
549,Project X,2012,6.7,48.0,"204,111"
550,The Vow,2012,6.8,43.0,"192,050"
551,Wrath of the Titans,2012,5.7,37.0,"187,681"
552,This Means War,2012,6.3,31.0,"184,485"
553,The Woman in Black,2012,6.4,62.0,"181,346"
554,Mud,2012,7.4,76.0,"177,469"
555,Madagascar 3: Europe's Most Wanted,2012,6.8,60.0,"176,789"
556,Rise of the Guardians,2012,7.3,58.0,"170,613"
557,The Master,2012,7.1,86.0,"170,355"
558,Abraham Lincoln: Vampire Hunter,2012,5.9,42.0,"154,737"
559,Underworld: Awakening,2012,6.3,39.0,"152,662"
560,Man on a Ledge,2012,6.6,40.0,"150,700"
561,Killing Them Softly,2012,6.2,64.0,"141,685"
562,Spring Breakers,2012,5.3,63.0,"140,989"
563,Resident Evil: Retribution,2012,5.3,39.0,"140,289"
564,This Is 40,2012,6.2,59.0,"137,415"
565,Magic Mike,2012,6.1,72.0,"136,913"
566,The Campaign,2012,6.1,50.0,"130,499"
567,Savages,2012,6.5,59.0,"129,079"
